,Car Name,link,Price,KMS Covered,Colour
129,"2022 RAM 1500 BIG HORN 4X4 QUAD CAB 6'4"" BOX",https://www.carpages.ca/new-cars/saskatchewan/saskatoon/2022-ram-1500-8563175/,"$61,370",10KM,"['Billet', 'Silver', 'Metallic']"
130,"2022 RAM 1500 Rebel 4x4 Crew Cab 5'7"" Box",https://www.carpages.ca/new-cars/saskatchewan/saskatoon/2022-ram-1500-8563151/,"$76,670",10KM,"['Bright', 'White']"
131,2019 Ford Fusion Hybrid Titanium,https://www.carpages.ca/used-cars/manitoba/winnipeg/2019-ford-fusion-8563127/,"$29,980","109,126KM",['Black']
132,2021 Toyota Corolla Hybrid COMING SOON!,https://www.carpages.ca/used-cars/ontario/stittsville/2021-toyota-corolla-8563052/,"$32,999","31,506KM",[]
133,2022 Toyota RAV4 Rav4 Hybrid XLE,https://www.carpages.ca/new-cars/nova-scotia/port-hawkesbury/2022-toyota-rav4-8562989/,"$36,350",10KM,"['01G3', 'MAGNETIC', 'GREY', 'METALLIC']"
134,2018 Ford Fusion Hybrid SE | HYBRID | LEATHER | CAMERA,https://www.carpages.ca/used-cars/ontario/kitchener/2018-ford-fusion-8562854/,"$24,952","103,243KM",['Gray']
135,"2020 Toyota Prius Prime Upgrade, HeadsUp Display, Blindspot Monitor, Leather, Navigation, & More!",https://www.carpages.ca/used-cars/ontario/guelph/2020-toyota-prius-8562794/,"$45,788","6,000KM",['Black']
136,"2018 Mitsubishi Outlander Phev SE AWC, Plug-In Hybrid, CarPlau + Android Auto, Blindspot + Rear Cross Traffic Alert, & More!",https://www.carpages.ca/used-cars/ontario/guelph/2018-mitsubishi-outlander-8562779/,"$39,988","42,000KM",['Gray']
137,2022 Ford MAVERICK XLT,https://www.carpages.ca/new-cars/british-columbia/surrey/2022-ford-maverick-8562746/,"$37,880",20KM,['White']
138,2018 Dodge Grand Caravan SXT,https://www.carpages.ca/used-cars/ontario/waterloo/2018-dodge-grand-caravan-8562500/,"$27,800",CALL,"['Octane', 'Red', 'Pearl']"
