,Link,Job Title,Company Name,Experience,Salary,Location,Description,Skills Required
79,https://www.naukri.com/job-listings-data-gov-stewardship-sr-analyst-pepsi-foods-priv-limited-hyderabad-secunderabad-1-to-5-years-270522502429?src=jobsearchDesk&sid=16537441348911514&xp=20&px=4,Data Gov. & Stewardship Sr Analyst,PEPSI FOODS PRIV LIMITED,1-5 Yrs,Not disclosed,Hyderabad/Secunderabad, 2 years of strong Data Profiling experience ability to identify trends and anomalies in...,"['Business process', 'Supply chain', 'Data analysis', 'Business transformation', 'Demand planning', 'Data management', 'Data collection', 'Workflow']"
80,https://www.naukri.com/job-listings-senior-data-analyst-r-python-aim-recruits-greater-noida-2-to-4-years-230522910020?src=jobsearchDesk&sid=16537441378029283&xp=1&px=5,Senior Data Analyst - R/Python,AIM recruits,2-4 Yrs,Not disclosed,Greater Noida," Technical Skills : - Hands on experience of one or more statistical tools such as SAS, ...","['Python', 'R', 'RDBMS', 'Data Analyst', 'SQL Server', 'Data Analytics']"
81,https://www.naukri.com/job-listings-sr-data-analyst-oportun-inc-chennai-3-to-6-years-230522501153?src=jobsearchDesk&sid=16537441378029283&xp=2&px=5,Sr. Data Analyst,Oportun Inc,3-6 Yrs,Not disclosed,Chennai, We’re looking for an analytically minded and driven professional to join our Data Manag...,"['Data analysis', 'Data management', 'MIS', 'Intellectual property', 'Risk management', 'Business intelligence', 'Data warehousing', 'Analytics']"
82,https://www.naukri.com/job-listings-global-procurement-data-analytics-analyst-avp-deutsche-bank-jaipur-6-to-11-years-270522502492?src=jobsearchDesk&sid=16537441378029283&xp=3&px=5,Global Procurement Data & Analytics Analyst (AVP),Deutsche Bank,6-11 Yrs,Not disclosed,Jaipur," The person will be required to think on his feet, good with numbers and able to deliver...","['Procurement', 'Automation', 'Performance management', 'Infrastructure management', 'Project management', 'Consulting', 'Stakeholder management', 'Analytics']"
83,https://www.naukri.com/job-listings-data-analyst-hike-remote-2-to-6-years-250522500155?src=jobsearchDesk&sid=16537441378029283&xp=4&px=5,Data Analyst,Hike,2-6 Yrs,Not disclosed,Remote," You have a Bachelor s degree in Math, Statistics, Comp Science, Engineering, or other t...","['Interpersonal skills', 'Data modeling', 'Analytical', 'Machine learning', 'data visualization', 'Gaming', 'Statistics', 'SQL']"
84,https://www.naukri.com/job-listings-urgent-hiring-for-data-analyst-in-chennai-hcl-technologies-limited-chennai-3-to-7-years-180122006419?src=jobsearchDesk&sid=16537441378029283&xp=5&px=5,Urgent hiring For Data Analyst in Chennai,HCL Technologies,3-7 Yrs,Not disclosed,Chennai, Shift timings: Must be flexible to work in ANY shift timings (including night shifts) A...,"['Data analyst', 'Report Generation', 'MS office', 'Excel', 'SAP', 'Data Analysis', 'sharepoint', 'Dashboards']"
85,https://www.naukri.com/job-listings-data-analyst-uat-testing-immediate-joiner-uk-shift-flexible-hexaware-technologies-limited-pune-chennai-mumbai-all-areas-7-to-12-years-130522008389?src=jobsearchDesk&sid=16537441378029283&xp=6&px=5,Data Analyst / UAT testing - Immediate Joiner - UK Shift (flexible),Hexaware Technologies,7-12 Yrs,"16,00,000 - 22,50,000 PA.","Pune, Chennai, Mumbai (All Areas)(WFH during Covid)", In-depth domain knowledge of Financial Markets and a good understanding of Entity Secur...,"['User Acceptance Testing', 'Data Analysis', 'data analyst', 'Gap analysis', 'Entity Security', 'Agile', 'SQL', 'Jira']"
86,https://www.naukri.com/job-listings-senior-business-data-analyst-huquo-consulting-pvt-ltd-gurgaon-gurugram-1-to-3-years-210921908175?src=jobsearchDesk&sid=16537441378029283&xp=7&px=5,Senior Business Data Analyst,Huquo Consulting Pvt. Ltd,1-3 Yrs,Not disclosed,Gurgaon/Gurugram, Creating Business Requirement documents which can be submitted for review and approvals...,"['Operational Excellence', 'Process Automation', 'Design Development', 'Feasibility Analysis', 'Data Analysis', 'Solution Design', 'Strong Communication Skills', 'Business Analysis']"
87,https://www.naukri.com/job-listings-senior-business-data-analyst-bfs-huquo-consulting-pvt-ltd-gurgaon-gurugram-1-to-3-years-210222907192?src=jobsearchDesk&sid=16537441378029283&xp=8&px=5,Senior Business Data Analyst - BFS,Huquo Consulting Pvt. Ltd,1-3 Yrs,Not disclosed,Gurgaon/Gurugram, Creating Business Requirement documents which can be submitted for review and approvals...,"['RPA', 'operational excellence', 'process automation', 'Automation', 'Data Analyst', 'Robotics', 'Analytics']"
88,https://www.naukri.com/job-listings-sr-data-analyst-ii-ihs-markit-gurgaon-gurugram-3-to-6-years-190522500075?src=jobsearchDesk&sid=16537441378029283&xp=9&px=5,Sr Data Analyst II,IHS Markit,3-6 Yrs,Not disclosed,Gurgaon/Gurugram, Coding experience (preferably python) to write robust and high standard code experience...,"['IT Skills', 'Python', 'Testing', 'Machine Learning', 'PDF', 'Coding', 'Data Analyst', 'HTTP']"
