,Link,Job Title,Company Name,Salary,Date of Posting
60,https://in.indeed.com/rc/clk?jk=2e02eb0111a7b685&fccid=fb309e44539d2522&vjs=3,O&M Technical Support Wind,Enel,N/A,Posted13 days ago
61,https://in.indeed.com/rc/clk?jk=9f5b7c9a305aff3c&fccid=9e215d88a6b33622&vjs=3,Sr. Analyst - Innovation Sensing - Hyd/Blr/Mum,Deloitte,N/A,Posted13 days ago
62,https://in.indeed.com/rc/clk?jk=ce506edee583e163&fccid=271ef612e3e4d3cc&vjs=3,Marketing Executive,COPTRZ,N/A,Posted13 days ago
63,https://in.indeed.com/rc/clk?jk=1ef921a3cc28c77a&fccid=ec47985c3446695d&vjs=3,Product Manager – GIS,Asteria Aerospace,N/A,Posted13 days ago
64,https://in.indeed.com/rc/clk?jk=e5666afdba6ecedb&fccid=fb309e44539d2522&vjs=3,O&M Operational Efficiency Wind,Enel,N/A,Posted13 days ago
65,https://in.indeed.com/rc/clk?jk=c80c09dfc454a11a&fccid=7ffd175381632aae&vjs=3,UAV / DRONE PILOT,IPage UM Services,N/A,Posted13 days ago
66,https://in.indeed.com/rc/clk?jk=2286997cc1722698&fccid=ed2b8db08c6c20f5&vjs=3,Cinematographer and Video Editor,pepper square,N/A,Posted13 days ago
67,https://in.indeed.com/rc/clk?jk=c866dc9c188a4ae2&fccid=73d25a9344bdf890&vjs=3,Senior Manager -Field Operations,Aarav Unmanned Systems,N/A,Posted13 days ago
68,https://in.indeed.com/rc/clk?jk=6c3265ccf41e56a8&fccid=b091369c6393d299&vjs=3,UAV (Drone) Pilot/Operator,HRP Infra,N/A,Posted13 days ago
69,https://in.indeed.com/company/ABL-Education-LLP/jobs/Robotic-Stem-Mentor-3d94cf5a32ed2a4b?fccid=f30629fd2e7ddc95&vjs=3,Robotics and STEM Mentor,ABL Education LLP,"₹1,80,000 - ₹3,00,000 a year",Posted13 days ago
70,https://in.indeed.com/rc/clk?jk=717f3fe146187df3&fccid=b3482f7081bccf01&vjs=3,Python Developer,Imagination Technologies,N/A,Posted13 days ago
71,https://in.indeed.com/rc/clk?jk=21be5ce59ff9a770&fccid=fb309e44539d2522&vjs=3,Permit Grid Specialist,Enel,N/A,Posted13 days ago
72,https://in.indeed.com/rc/clk?jk=684c6b4afc637576&fccid=ec47985c3446695d&vjs=3,GIS Analyst,Asteria Aerospace,N/A,Posted13 days ago
73,https://in.indeed.com/company/Genrobotic-Innovation-Pvt-Ltd/jobs/Mechanical-Design-Engineer-5fb9d3c57db510b0?fccid=c08ed06598b50bc2&vjs=3,Mechanical Design Engineer (Drone Project),Genrobotic Innovation Pvt Ltd,"₹35,000 - ₹60,000 a month",Posted13 days ago
74,https://in.indeed.com/rc/clk?jk=e5911e39e2154222&fccid=bd8c9e3011816ae8&vjs=3,CAD Designer,RIF Technologies,N/A,Posted13 days ago
